stock_code,total_quantity,total_revenue,avg_price,promo_count,days_active,last_sale,first_sale
20734,38,61.94,1.63,0,288,2011-12-09,2011-02-25
20735,622,610.7666666666667,1.0255080213903742,54,374,2011-12-09,2010-12-01
20748,57,751.17,13.892647058823531,0,374,2011-12-09,2010-12-01
20749,1510,11276.745,8.287486631016042,14,374,2011-12-09,2010-12-01
20750,891,7210.3966666666665,8.076559714795009,10,374,2011-12-09,2010-12-01
20751,686,1633.4550000000002,2.4511229946524065,45,374,2011-12-09,2010-12-01
20752,309,723.5120000000001,2.4045641711229946,38,374,2011-12-09,2010-12-01
20754,1040,2511.1091666666666,2.4706617647058824,94,374,2011-12-09,2010-12-01
20755,264,236.39499999999998,0.9871791443850267,13,374,2011-12-09,2010-12-01
20756,57,48.449999999999996,0.85,0,374,2011-12-09,2010-12-01
20757,158,136.64,0.9501069518716577,0,374,2011-12-09,2010-12-01
20758,159,135.14999999999998,0.85,0,374,2011-12-09,2010-12-01
20759,64,54.4,0.85,0,374,2011-12-09,2010-12-01
20760,63,53.55,0.85,0,374,2011-12-09,2010-12-01
20761,98,425.405,4.29879679144385,27,374,2011-12-09,2010-12-01
20762,102,405.08,4.035494652406418,9,374,2011-12-09,2010-12-01
20763,69,208.79,3.855882352941176,5,374,2011-12-09,2010-12-01
20764,124,543.31,4.24274064171123,22,374,2011-12-09,2010-12-01
20765,100,412.26,3.9343716577540104,0,374,2011-12-09,2010-12-01
20766,106,431.0966666666667,4.445860071301248,25,374,2011-12-09,2010-12-01
20767,183,500.205,2.8336363636363635,21,374,2011-12-09,2010-12-01
20768,170,423.045,2.615935828877005,6,374,2011-12-09,2010-12-01
20769,67,184.36499999999998,3.3820588235294116,7,374,2011-12-09,2010-12-01
20770,177,429.175,2.5110427807486633,1,374,2011-12-09,2010-12-01
20771,94,246.685,2.732513368983957,4,374,2011-12-09,2010-12-01
20772,220,552.34,2.7056417112299465,17,374,2011-12-09,2010-12-01
20773,56,92.39999999999999,1.6500000000000001,0,374,2011-12-09,2010-12-01
20774,81,132.98333333333332,1.6449910873440285,0,374,2011-12-09,2010-12-01
20775,134,233.43666666666667,1.7965597147950088,14,374,2011-12-09,2010-12-01
20777,160,269.19666666666666,1.6959982174688055,4,374,2011-12-09,2010-12-01
20778,15,24.75,1.6500000000000001,0,374,2011-12-09,2010-12-01
20780,35,256.9,6.3944786096256685,10,374,2011-12-09,2010-12-01
20781,33,201.28,6.225347593582888,16,374,2011-12-09,2010-12-01
20782,47,337.79,7.106283422459893,11,374,2011-12-09,2010-12-01
20785,14,523.3000000000001,39.74679144385027,0,374,2011-12-09,2010-12-01
20793,8,54.0,6.75,0,374,2011-12-09,2010-12-01
20794,79,231.79,3.646122994652406,11,374,2011-12-09,2010-12-01
20795,43,100.45,3.0932887700534764,2,374,2011-12-09,2010-12-01
20796,50,84.14,1.6938502673796791,0,374,2011-12-09,2010-12-01
20798,36,75.60000000000001,2.1,0,374,2011-12-09,2010-12-01
20801,975,1271.375,1.6874598930481284,27,374,2011-12-09,2010-12-01
20802,709,981.9300000000001,1.9155882352941176,32,374,2011-12-09,2010-12-01
20803,891,519.76,1.0327807486631015,16,374,2011-12-09,2010-12-01
20816,8,15.6,1.95,0,374,2011-12-09,2010-12-01
20818,15,42.7,2.8731550802139036,0,374,2011-12-09,2010-12-01
20819,51,197.20666666666668,4.326434937611408,0,374,2011-12-09,2010-12-01
20820,5,24.75,4.95,0,374,2011-12-09,2010-12-01
20821,17,84.15,4.95,0,374,2011-12-09,2010-12-01
20823,164,129.56,0.7900000000000001,0,374,2011-12-09,2010-12-01
20826,276,128.4,1.0329679144385029,3,374,2011-12-09,2010-12-01
20827,88,34.32,0.39,0,374,2011-12-09,2010-12-01
20828,985,2881.59,3.2914460784313726,49,374,2011-12-09,2010-12-01
20829,1289,2729.150833333333,2.44046568627451,72,374,2011-12-09,2010-12-01
20830,136,405.0933333333333,2.702785204991087,15,374,2011-12-09,2010-12-01
20831,198,444.45,2.8479411764705884,18,374,2011-12-09,2010-12-01
20832,1043,575.63,0.7877272727272727,44,374,2011-12-09,2010-12-01
20835,67,65.80000000000001,4.998636363636364,3,374,2011-12-09,2010-12-01
20836,134,111.22000000000001,0.8299999999999998,0,374,2011-12-09,2010-12-01
20837,117,122.55000000000001,1.6972727272727273,6,374,2011-12-09,2010-12-01
20838,349,430.84999999999997,2.5462566844919783,21,374,2011-12-09,2010-12-01
